,transcript,length,effective_length,expected_counts,tpm
0,ENST00000410108,637,438,116,184.838433228449
1,ENST00000325147,2916,2717,302,77.13306921249743
2,ENST00000382762,2792,2593,1234,329.51678290975354
3,ENST00000529614,560,361,4,9.389582688833828
4,ENST00000332865,533,334,26,55.38091810499853
5,ENST00000486280,665,466,4,6.980225649209886
6,ENST00000342878,435,236,0,0.0
7,ENST00000325113,1284,1085,0,0.0
8,ENST00000525282,764,565,0,0.0
9,ENST00000526104,3506,3307,995,208.41652703892225
10,ENST00000325207,2702,2503,370,102.56924743560458
11,ENST00000528357,500,301,43,99.25058944335919
12,ENST00000526982,965,766,3,2.8769488056914434
13,ENST00000530889,563,364,89,169.63058341060093
14,ENST00000626818,159,0,0,0.0
15,ENST00000527696,2565,2366,383,112.2618469036991
16,ENST00000527468,571,372,24,44.903634588466424
17,ENST00000527728,859,660,103,108.2755603823001
18,ENST00000524854,649,450,86,133.12559195374996
19,ENST00000529275,440,241,86,249.1711961095416
20,ENST00000382743,2882,2683,148,38.29090253732539
21,ENST00000529937,2627,2428,6,1.8524971716848433
22,ENST00000532837,1588,1389,162,80.97067857732124
23,ENST00000525319,1475,1276,51,27.713795070358266
24,ENST00000524564,1395,1196,28,16.654363547623188
25,ENST00000532956,1235,1036,20,13.724383608047694
26,ENST00000529382,1225,1026,6,4.268001474447911
27,ENST00000526854,785,586,10,12.922663556364926
28,ENST00000529055,779,580,5,6.17558527113361
29,ENST00000530067,681,482,0,0.8710479527790334
30,ENST00000528469,763,564,14,18.291719539741994
31,ENST00000525776,365,166,16,70.34088319153672
32,ENST00000525237,430,231,3,10.431273971270878
33,ENST00000529372,612,413,173,290.43683713145964
34,ENST00000532097,1589,1390,1448,721.6629997492151
35,ENST00000431206,1591,1392,29,14.873557872561184
36,ENST00000528906,858,659,49,51.747780545690375
37,ENST00000525665,1632,1433,145,70.40157570050859
38,ENST00000352303,1427,1228,372,209.75522927040484
39,ENST00000382671,1489,1290,610,327.7763634960949
40,ENST00000526783,892,693,253,253.1236073052527
41,ENST00000534750,2923,2724,1,0.5083484975195025
42,ENST00000312165,2679,2480,0,2.2627995869195916e-08
43,ENST00000409548,3699,3500,316,62.516307949763245
44,ENST00000409655,2963,2764,227,57.05818174697199
45,ENST00000409479,3062,2863,290,70.33067830555825
46,ENST00000482937,734,535,36,47.22720291156704
47,ENST00000397660,578,379,36,67.370451837433
48,ENST00000382614,736,537,1,1.2893308783617825
49,ENST00000681810,238,39,75,1334.8527738784967
50,ENST00000681914,238,39,80,1429.453749573371
51,ENST00000680081,238,39,21,387.6963045511374
52,ENST00000679962,238,39,13,239.16601758649594
53,ENST00000681900,236,37,316,5921.993796206609
54,ENST00000681276,240,41,17,287.62309257570115
55,ENST00000533141,588,389,10,18.989448813657972
56,ENST00000616316,1006,807,196,168.9802178565394
57,ENST00000399817,713,514,155,208.9851430897467
58,ENST00000680197,603,404,686,1176.0362291732204
59,ENST00000680344,685,486,17,24.489783537053974
60,ENST00000680619,439,240,11,31.735297187372762
61,ENST00000681833,665,466,31,47.33237873186855
62,ENST00000680261,660,461,23,35.903966125008154
63,ENST00000602569,556,357,30,59.12346291532663
64,ENST00000527146,634,435,161,257.6929516131159
65,ENST00000681211,315,116,882,5268.639250928643
66,ENST00000399815,382,183,3795,14359.901622586838
67,ENST00000680299,634,435,37,60.35857002030188
68,ENST00000679353,488,289,0,0.012517052507728521
69,ENST00000679982,631,432,33,53.180981011205795
70,ENST00000681350,324,125,0,1.549830894035322e-08
71,ENST00000680855,467,268,0,0.013823167221501885
72,ENST00000680588,841,642,2,2.679195139574251
73,ENST00000680310,387,188,188,696.049358033402
