target_id	length	eff_length	est_counts	tpm
ENST00000410108	637	438	115.216	230.175
ENST00000325147	2916	2717	146.545	47.1954
ENST00000382762	2792	2593	1419.01	478.854
ENST00000529614	560	361	0	0
ENST00000332865	533	334	0	0
ENST00000486280	665	466	7.22634	13.5691
ENST00000342878	435	236	0	0
ENST00000325113	1284	1085	0	0
ENST00000525282	764	565	0	0
ENST00000526104	3506	3307	1093.7	289.389
ENST00000325207	2702	2503	516.38	180.521
ENST00000528357	500	301	0	0
ENST00000526982	965	766	0	0
ENST00000530889	563	364	22.0134	52.9183
ENST00000626818	159	2.76681	0	0
ENST00000527696	2565	2366	471.94	174.538
ENST00000527468	571	372	16.7231	39.3363
ENST00000527728	859	660	0	0
ENST00000524854	649	450	58.7987	114.334
ENST00000529275	440	241	5.44637	19.7747
ENST00000382743	2882	2683	159.059	51.8747
ENST00000529937	2627	2428	5.9864	2.15743
ENST00000532837	1588	1389	224.212	141.246
ENST00000525319	1475	1276	0	0
ENST00000524564	1395	1196	29.5744	21.6373
ENST00000532956	1235	1036	19.0387	16.0804
ENST00000529382	1225	1026	0	0
ENST00000526854	785	586	4.92024	7.34697
ENST00000529055	779	580	3.40695	5.13993
ENST00000530067	681	482	0	0
ENST00000528469	763	564	14.6626	22.7484
ENST00000525776	365	166	11.1398	58.7202
ENST00000525237	430	231	0	0
ENST00000529372	612	413	18.4736	39.1399
ENST00000532097	1589	1390	2895.09	1822.5
ENST00000431206	1591	1392	0	0
ENST00000528906	858	659	0	0
ENST00000525665	1632	1433	31.1578	19.0256
ENST00000352303	1427	1228	24.5488	17.4924
ENST00000382671	1489	1290	81.8678	55.5319
ENST00000526783	892	693	20.8585	26.3371
ENST00000534750	2923	2724	2	0.642454
ENST00000312165	2679	2480	0	0
ENST00000409548	3699	3500	361.868	90.4694
ENST00000409655	2963	2764	215.753	68.3026
ENST00000409479	3062	2863	324.447	99.161
ENST00000482937	734	535	0	0
ENST00000397660	578	379	4.93215	11.3872
ENST00000382614	736	537	1	1.62946
ENST00000681810	238	39.0024	0	0
ENST00000681914	238	39.0024	0	0
ENST00000680081	238	39.0024	0	0
ENST00000679962	238	39.0024	0	0
ENST00000681900	236	37.0051	0	0
ENST00000681276	240	41.0011	0	0
ENST00000533141	588	389	9.98551	22.4616
ENST00000616316	1006	807	236.461	256.393
ENST00000399817	713	514	497.136	846.313
ENST00000680197	603	404	1285.17	2783.55
ENST00000680344	685	486	5.63805	10.1511
ENST00000680619	439	240	9.49901	34.6327
ENST00000681833	665	466	43.5209	81.7206
ENST00000680261	660	461	71.6933	136.081
ENST00000602569	556	357	486.936	1193.5
ENST00000527146	634	435	124.141	249.716
ENST00000681211	315	116	2.88376	21.7531
ENST00000399815	382	183	24.0747	115.114
ENST00000680299	634	435	0	0
ENST00000679353	488	289	0	0
ENST00000679982	631	432	84.4469	171.048
ENST00000681350	324	125	0	0
ENST00000680855	467	268	0	0
ENST00000680588	841	642	0	0
ENST00000680310	387	188	0	0
ENST00000681702	390	191	339.386	1554.82
ENST00000681111	225	26.155	0	0
ENST00000680342	392	193	0	0
ENST00000680870	387	188	0	0
ENST00000680802	390	191	0	0
ENST00000528780	730	531	11.777	19.4071
ENST00000681761	522	323	18.3204	49.6309
ENST00000681821	354	155	2.12741	12.0099
ENST00000328221	844	645	100.287	136.052
ENST00000680699	447	248	8.75749	30.8992
ENST00000681938	662	463	129.702	245.124
ENST00000679380	656	457	0	0
ENST00000680938	666	467	0	0
ENST00000408968	668	469	8701.92	16235.3
ENST00000679765	804	605	38.7843	56.0945
ENST00000681180	704	505	69.2663	120.019
ENST00000681426	611	412	0	0
ENST00000681577	835	636	45.0025	61.9154
ENST00000680696	708	509	25.1504	43.236
ENST00000679382	587	388	0	0
ENST00000681198	591	392	0	0
ENST00000399808	611	412	403.037	855.987
ENST00000680209	651	452	0	0
ENST00000681304	517	318	0	0
ENST00000681840	505	306	4.89964	14.0108
ENST00000531688	725	526	19.7556	32.8642
ENST00000526811	543	344	13.8852	35.3195
ENST00000602735	713	514	0	0
ENST00000680023	238	39.0024	0	0
ENST00000679433	238	39.0024	0	0
ENST00000679441	238	39.0024	0	0
ENST00000679792	238	39.0024	0	0
ENST00000681184	277	78	4.19709	47.084
ENST00000680720	238	39.0024	0	0
ENST00000680622	884	685	28.1512	35.9604
ENST00000681748	238	39.0024	0	0
ENST00000329962	3750	3551	3.70668	0.913384
ENST00000526584	421	222	0	0
ENST00000534778	876	677	0.293319	0.379115
ENST00000534401	756	557	0	0
ENST00000533249	1111	912	0	0
ENST00000527442	847	648	0	0
ENST00000528036	940	741	0	0
ENST00000331563	2817	2618	0	0
ENST00000531857	687	488	0	0
ENST00000525642	495	296	0	0
ENST00000528845	573	374	6.4815	15.1643
ENST00000526395	608	409	22.0091	47.0866
ENST00000431843	1743	1544	4.26327	2.4161
ENST00000397632	1598	1399	7.12425	4.45595
ENST00000332725	1639	1440	0	0
ENST00000531205	1649	1450	41.0865	24.7942
ENST00000528209	933	734	3.03536	3.61854
ENST00000530494	709	510	0	0
ENST00000528058	557	358	0	0
ENST00000332826	2867	2668	695	227.939
ENST00000308020	2458	2259	287.718	111.447
ENST00000531520	890	691	3.57007	4.52083
ENST00000527479	520	321	13.7122	37.3784
ENST00000534797	2973	2774	15.418	4.8634
ENST00000397614	1864	1665	161.095	84.6616
ENST00000397615	2014	1815	572.008	275.769
ENST00000354420	1952	1753	209.524	104.585
ENST00000397604	1722	1523	513.608	295.088
ENST00000525701	1794	1595	50.2249	27.5536
ENST00000529768	1019	820	12.9493	13.8183
ENST00000533410	1829	1630	333.23	178.886
ENST00000438658	1725	1526	248.408	142.439
ENST00000356187	1791	1592	538.282	295.86
ENST00000524464	624	425	0	0
ENST00000529115	855	656	0	0
ENST00000527485	873	674	0	0
ENST00000529368	727	528	32.381	53.6631
ENST00000529306	870	671	11.4697	14.9571
ENST00000531149	709	510	51.8965	89.0404
ENST00000532055	704	505	8.97726	15.5551
ENST00000531540	480	281	3.52798	10.986
ENST00000397594	639	440	0	0
ENST00000397596	1100	901	30.2098	29.3388
ENST00000493230	1114	915	82.799	79.1814
ENST00000311189	1070	871	266.785	268.017
ENST00000451590	1151	952	15.4423	14.1937
ENST00000417302	1244	1045	45.5258	38.1206
ENST00000462734	1939	1740	37.2377	18.7263
ENST00000468682	749	550	0	0
ENST00000270115	2765	2566	38	12.9582
ENST00000329451	2057	1858	63.0001	29.6698
ENST00000441853	1051	852	12.9999	13.3512
